task_type,input_size,cpu_at_submit,ram_at_submit,active_tasks,gpu_available,actual_duration
matrix_multiply,450,59.2,75.8,9,1,54.13
synthetic_load,686,31.6,45.7,13,0,145.68
synthetic_load,467,8.8,79.6,11,1,87.25
matrix_multiply,86,65.4,42.5,5,0,17.29
inference,704,75.3,12.8,2,0,38.96
synthetic_load,380,39.5,55.4,4,1,87.13
synthetic_load,464,73.7,55.9,11,1,89.02
synthetic_load,265,91.4,12.1,5,1,55.12
inference,130,28.6,30.8,14,0,7.8
synthetic_load,720,87.5,49.3,3,0,161.18
ml_training,186,85.9,45.6,2,1,33.87
matrix_multiply,573,53.8,81.3,5,0,73.44
inference,239,15.9,26.1,4,0,13.16
matrix_multiply,379,54.9,39.5,4,0,40.57
ml_training,744,69.7,52.1,13,0,135.47
synthetic_load,667,11.7,47.3,11,0,148.79
inference,665,57.9,71.4,4,1,20.55
matrix_multiply,861,16.2,22.2,5,0,89.39
compress_data,364,90.3,51.5,9,0,24.93
inference,291,16.3,34.2,2,0,15.12
inference,167,20.4,60.0,10,0,9.39
matrix_multiply,93,9.1,61.3,8,0,23.5
ml_training,642,62.5,49.8,9,1,99.29
ml_training,314,45.8,65.1,5,1,48.96
ml_training,218,35.6,21.5,10,1,39.48
compress_data,788,38.3,54.9,10,0,48.55
synthetic_load,470,27.3,17.7,9,1,104.88
ml_training,264,91.6,82.2,10,1,40.73
compress_data,520,94.6,47.3,9,1,29.67
ml_training,527,46.2,29.3,11,0,93.29
ml_training,621,84.4,62.3,15,1,98.85
matrix_multiply,451,17.1,31.2,11,1,59.94
ml_training,62,56.3,25.6,9,0,14.65
ml_training,792,54.5,76.0,3,0,185.2
ml_training,392,76.5,37.1,11,0,74.78
inference,421,50.0,13.6,4,1,14.33
inference,477,18.4,81.5,4,1,16.37
synthetic_load,176,40.4,59.3,9,1,36.09
inference,555,49.1,55.0,15,0,27.13
matrix_multiply,436,57.5,73.7,0,1,43.21
inference,601,25.5,14.1,15,0,30.53
inference,803,80.7,21.8,7,0,41.85
matrix_multiply,205,6.7,35.1,4,1,28.37
ml_training,523,74.7,83.6,1,0,109.87
inference,342,94.8,48.3,12,1,12.74
ml_training,944,53.0,53.7,8,1,131.43
compress_data,295,55.2,28.0,9,1,24.19
ml_training,334,48.2,54.8,8,1,47.1
inference,398,85.6,41.6,11,0,19.45
synthetic_load,988,69.3,37.7,14,1,213.75
compress_data,216,79.5,31.7,8,0,16.02
inference,255,26.8,63.6,7,0,11.27
ml_training,348,69.6,18.0,4,0,82.88
compress_data,426,63.8,80.5,15,1,37.33
synthetic_load,338,30.7,14.7,2,0,68.93
matrix_multiply,945,87.9,43.4,5,0,122.26
ml_training,816,49.6,84.9,9,0,142.31
inference,627,14.7,88.6,9,1,21.74
inference,546,49.5,85.1,14,1,15.32
matrix_multiply,348,19.6,46.7,8,0,40.81
synthetic_load,819,31.6,64.0,6,0,169.91
ml_training,856,43.5,36.2,12,0,157.24
compress_data,498,34.1,29.8,8,1,29.64
