task_type,input_size,cpu_at_submit,ram_at_submit,active_tasks,gpu_available,actual_duration
matrix_multiply,450,59.2,75.8,9,1,54.13
synthetic_load,686,31.6,45.7,13,0,145.68
synthetic_load,467,8.8,79.6,11,1,87.25
matrix_multiply,86,65.4,42.5,5,0,17.29
inference,704,75.3,12.8,2,0,38.96
synthetic_load,380,39.5,55.4,4,1,87.13
synthetic_load,464,73.7,55.9,11,1,89.02
synthetic_load,265,91.4,12.1,5,1,55.12
inference,130,28.6,30.8,14,0,7.8
synthetic_load,720,87.5,49.3,3,0,161.18
ml_training,186,85.9,45.6,2,1,33.87
matrix_multiply,573,53.8,81.3,5,0,73.44
inference,239,15.9,26.1,4,0,13.16
matrix_multiply,379,54.9,39.5,4,0,40.57
ml_training,744,69.7,52.1,13,0,135.47
synthetic_load,667,11.7,47.3,11,0,148.79
inference,665,57.9,71.4,4,1,20.55
matrix_multiply,861,16.2,22.2,5,0,89.39
compress_data,364,90.3,51.5,9,0,24.93
inference,291,16.3,34.2,2,0,15.12
inference,167,20.4,60.0,10,0,9.39
matrix_multiply,93,9.1,61.3,8,0,23.5
ml_training,642,62.5,49.8,9,1,99.29
ml_training,314,45.8,65.1,5,1,48.96
ml_training,218,35.6,21.5,10,1,39.48
compress_data,788,38.3,54.9,10,0,48.55
synthetic_load,470,27.3,17.7,9,1,104.88
ml_training,264,91.6,82.2,10,1,40.73
compress_data,520,94.6,47.3,9,1,29.67
ml_training,527,46.2,29.3,11,0,93.29
ml_training,621,84.4,62.3,15,1,98.85
matrix_multiply,451,17.1,31.2,11,1,59.94
ml_training,62,56.3,25.6,9,0,14.65
ml_training,792,54.5,76.0,3,0,185.2
ml_training,392,76.5,37.1,11,0,74.78
inference,421,50.0,13.6,4,1,14.33
inference,477,18.4,81.5,4,1,16.37
synthetic_load,176,40.4,59.3,9,1,36.09
inference,555,49.1,55.0,15,0,27.13
matrix_multiply,436,57.5,73.7,0,1,43.21
inference,601,25.5,14.1,15,0,30.53
inference,803,80.7,21.8,7,0,41.85
matrix_multiply,205,6.7,35.1,4,1,28.37
ml_training,523,74.7,83.6,1,0,109.87
inference,342,94.8,48.3,12,1,12.74
ml_training,944,53.0,53.7,8,1,131.43
compress_data,295,55.2,28.0,9,1,24.19
ml_training,334,48.2,54.8,8,1,47.1
inference,398,85.6,41.6,11,0,19.45
synthetic_load,988,69.3,37.7,14,1,213.75
compress_data,216,79.5,31.7,8,0,16.02
inference,255,26.8,63.6,7,0,11.27
ml_training,348,69.6,18.0,4,0,82.88
compress_data,426,63.8,80.5,15,1,37.33
synthetic_load,338,30.7,14.7,2,0,68.93
matrix_multiply,945,87.9,43.4,5,0,122.26
ml_training,816,49.6,84.9,9,0,142.31
inference,627,14.7,88.6,9,1,21.74
inference,546,49.5,85.1,14,1,15.32
matrix_multiply,348,19.6,46.7,8,0,40.81
synthetic_load,819,31.6,64.0,6,0,169.91
ml_training,856,43.5,36.2,12,0,157.24
compress_data,498,34.1,29.8,8,1,29.64
synthetic_load,986,34.7,56.6,0,1,207.02
compress_data,73,65.1,47.2,5,1,9.57
synthetic_load,716,15.6,83.3,9,1,148.45
compress_data,990,17.0,22.3,11,1,62.54
ml_training,785,53.4,63.1,6,0,169.08
inference,904,75.9,52.0,11,0,51.71
matrix_multiply,73,79.6,82.2,6,0,18.24
inference,462,15.5,26.4,15,0,26.04
ml_training,838,10.0,20.6,13,1,128.94
inference,483,65.5,34.7,0,1,14.03
matrix_multiply,773,24.6,15.8,13,1,103.92
inference,71,89.1,15.5,15,0,4.16
compress_data,797,17.2,61.3,13,1,59.79
ml_training,469,83.3,82.5,12,0,104.2
inference,146,63.8,37.8,5,1,5.06
compress_data,864,5.3,11.8,9,1,53.4
inference,444,52.9,75.9,7,1,13.21
synthetic_load,203,89.4,68.0,3,0,46.32
ml_training,639,73.9,80.7,0,0,120.7
matrix_multiply,618,8.0,57.8,1,0,68.3
ml_training,459,26.1,27.4,1,0,93.5
synthetic_load,249,78.4,68.5,10,1,47.31
compress_data,686,51.9,43.1,8,0,42.71
inference,910,71.2,24.0,13,1,24.2
synthetic_load,974,62.9,40.5,10,1,190.66
synthetic_load,395,21.5,53.0,7,0,74.68
compress_data,835,46.7,14.6,13,1,53.49
compress_data,407,26.9,26.3,2,1,25.11
matrix_multiply,558,70.2,25.2,8,1,75.03
inference,50,83.6,25.1,6,1,2.13
synthetic_load,320,91.1,11.2,6,0,70.7
ml_training,946,26.8,58.4,6,1,162.09
inference,339,74.8,40.5,11,1,10.14
inference,913,49.8,17.9,15,1,31.35
synthetic_load,330,42.3,55.0,7,0,57.14
inference,967,57.6,67.6,9,0,44.47
compress_data,398,56.3,29.7,10,1,31.07
ml_training,999,70.1,69.2,14,0,218.23
synthetic_load,183,17.6,53.7,5,0,37.22
matrix_multiply,977,78.6,13.9,0,1,90.58
compress_data,79,68.6,10.7,14,1,13.43
inference,944,48.5,49.0,0,1,24.59
inference,749,29.7,88.2,0,1,24.86
compress_data,119,87.6,52.0,7,0,13.58
synthetic_load,844,36.9,73.6,2,1,192.9
ml_training,588,26.9,65.8,9,0,125.53
matrix_multiply,105,41.5,40.2,15,0,36.51
compress_data,94,50.0,44.7,10,0,15.7
matrix_multiply,245,24.0,79.4,15,1,41.64
matrix_multiply,710,88.3,81.9,1,0,86.81
synthetic_load,26,91.5,57.0,12,0,6.61
inference,256,56.0,78.0,10,1,8.87
compress_data,819,94.0,67.9,11,0,45.54
compress_data,868,11.8,58.4,12,1,47.03
synthetic_load,812,94.3,49.2,11,1,160.93
inference,686,39.2,71.8,9,0,36.91
matrix_multiply,284,18.9,66.9,4,1,33.4
matrix_multiply,103,5.5,34.7,11,1,23.84
matrix_multiply,201,43.8,54.6,13,0,35.85
synthetic_load,577,13.4,57.8,10,1,98.75
ml_training,407,75.1,68.0,7,0,90.53
compress_data,152,29.2,31.5,4,0,10.57
synthetic_load,441,32.0,72.6,11,1,100.68
ml_training,618,60.5,46.6,4,1,81.84
ml_training,350,80.7,40.4,10,1,53.73
inference,149,32.0,58.3,6,1,4.52
ml_training,336,31.2,65.6,15,0,66.12
synthetic_load,846,75.7,39.2,6,0,180.02
inference,37,90.8,46.9,6,1,2.2
matrix_multiply,848,81.3,73.6,15,0,115.82
compress_data,268,64.3,67.2,12,0,24.63
inference,500,57.4,52.7,13,0,27.8
synthetic_load,728,85.6,53.0,2,0,159.2
synthetic_load,180,63.2,13.5,12,1,42.47
ml_training,118,5.9,30.7,7,1,17.85
ml_training,800,66.2,65.2,4,1,142.46
ml_training,117,31.6,83.6,2,0,28.95
compress_data,366,33.1,46.4,6,1,23.38
matrix_multiply,458,70.0,46.2,2,1,45.16
matrix_multiply,33,81.4,61.8,5,0,14.94
inference,173,34.8,44.1,14,0,9.8
compress_data,200,62.6,44.6,0,0,11.17
ml_training,408,5.4,27.2,8,0,84.27
inference,201,37.9,25.8,3,1,6.74
ml_training,550,91.9,35.1,12,1,89.15
synthetic_load,370,81.1,59.4,9,0,79.53
synthetic_load,130,26.5,19.4,11,0,26.62
ml_training,620,17.4,40.7,5,1,98.35
compress_data,578,20.0,33.1,5,1,37.37
inference,64,82.9,86.1,15,0,3.66
ml_training,996,55.5,62.2,13,1,148.99
ml_training,510,20.1,55.2,7,1,67.42
compress_data,560,31.0,72.5,15,0,43.1
synthetic_load,803,53.9,89.3,1,1,163.93
ml_training,114,71.2,62.3,7,1,23.58
matrix_multiply,470,28.7,79.0,2,1,57.07
matrix_multiply,804,78.1,26.8,11,1,90.7
compress_data,813,23.6,26.6,1,1,42.66
inference,561,20.2,88.3,9,1,17.4
inference,931,66.1,17.6,13,0,54.19
compress_data,728,82.9,30.0,10,0,48.85
ml_training,511,17.8,60.6,13,1,77.44
matrix_multiply,422,51.4,32.3,11,1,69.55
synthetic_load,605,5.2,71.9,2,1,126.0
synthetic_load,880,10.7,52.8,6,1,193.39
ml_training,284,34.1,32.7,4,1,48.48
matrix_multiply,57,14.0,72.7,14,0,24.31
compress_data,461,46.1,89.3,13,0,41.5
compress_data,913,63.5,22.7,8,0,55.18
synthetic_load,94,38.5,82.3,5,0,18.96
synthetic_load,753,67.9,28.7,2,0,129.21
ml_training,89,16.9,28.1,14,0,16.23
synthetic_load,846,15.9,78.8,4,1,147.69
ml_training,101,70.8,18.2,10,1,20.44
compress_data,401,74.6,70.3,4,0,22.08
inference,18,59.9,23.1,11,0,1.56
compress_data,951,42.1,64.9,6,0,60.76
compress_data,780,16.1,68.4,11,1,47.08
compress_data,263,29.9,16.7,9,0,23.03
synthetic_load,220,51.6,50.8,12,1,47.01
compress_data,516,39.7,29.3,2,0,32.41
synthetic_load,145,39.8,77.1,13,1,30.21
compress_data,791,47.4,89.0,2,0,44.97
matrix_multiply,278,24.4,83.8,12,1,48.83
inference,795,42.4,66.1,2,0,37.49
synthetic_load,90,51.0,26.3,4,1,18.4
matrix_multiply,327,67.9,68.4,7,0,43.02
ml_training,128,45.8,58.7,9,0,25.34
compress_data,728,6.0,49.7,11,1,42.03
compress_data,777,75.3,31.5,3,0,40.11
ml_training,288,52.1,31.0,2,1,45.29
synthetic_load,66,50.0,55.4,11,0,13.16
matrix_multiply,925,56.7,67.8,7,0,91.36
matrix_multiply,260,9.1,39.1,4,0,36.65
matrix_multiply,576,77.3,67.1,13,0,76.64
ml_training,947,69.8,31.7,2,1,128.87
matrix_multiply,193,25.1,51.3,1,1,19.2
ml_training,896,30.4,77.6,10,0,184.87
matrix_multiply,387,23.1,55.1,9,0,52.78
inference,515,94.8,72.1,7,0,22.74
ml_training,34,26.0,37.7,0,1,5.86
ml_training,879,71.4,34.6,6,0,175.03
matrix_multiply,155,69.0,17.4,7,1,31.22
synthetic_load,479,92.7,16.8,3,0,101.67
ml_training,86,58.3,15.0,4,0,18.59
synthetic_load,958,77.1,66.1,10,1,190.4
compress_data,86,89.9,20.9,3,0,6.46
ml_training,487,33.3,19.7,11,0,97.7
ml_training,281,81.7,17.2,9,0,54.7
synthetic_load,161,13.2,29.9,11,1,32.6
synthetic_load,276,78.8,23.9,12,1,57.73
inference,265,13.5,18.2,4,0,11.43
compress_data,143,22.8,42.0,2,1,11.26
matrix_multiply,32,94.7,25.8,14,0,25.39
synthetic_load,135,8.8,46.9,5,1,29.8
ml_training,518,7.7,64.7,5,1,72.51
compress_data,291,30.2,80.7,1,0,18.56
ml_training,431,84.5,48.3,2,1,66.57
ml_training,214,62.8,73.8,7,0,53.66
synthetic_load,501,54.0,48.8,10,1,94.3
matrix_multiply,336,58.7,12.3,8,0,53.03
ml_training,552,37.2,56.7,7,0,99.46
compress_data,282,53.0,73.3,1,0,17.49
ml_training,373,89.2,89.3,5,0,73.63
synthetic_load,835,71.4,38.7,0,1,191.04
inference,155,55.7,25.1,15,1,4.7
matrix_multiply,102,10.1,58.1,0,1,9.1
inference,216,77.6,37.3,5,1,6.3
compress_data,610,68.4,21.3,3,1,38.17
synthetic_load,731,89.8,41.6,3,1,139.19
compress_data,171,70.9,44.9,15,1,19.76
inference,720,85.1,59.1,11,0,38.68
compress_data,397,32.6,65.1,4,0,26.72
inference,410,81.6,71.7,1,0,21.97
inference,236,62.6,18.3,15,0,11.8
matrix_multiply,253,36.2,35.6,2,1,29.63
synthetic_load,224,27.5,15.4,8,0,48.35
matrix_multiply,405,44.4,43.6,5,1,50.12
ml_training,369,54.1,18.1,15,0,68.6
matrix_multiply,828,81.1,33.6,10,1,115.66
matrix_multiply,360,20.3,40.0,2,0,38.07
inference,924,48.4,12.5,5,1,25.3
matrix_multiply,349,23.5,25.2,8,1,45.15
matrix_multiply,60,40.4,54.0,15,0,26.44
matrix_multiply,447,12.9,75.9,15,0,59.64
compress_data,184,62.4,88.2,15,0,22.47
ml_training,492,49.0,62.9,2,1,69.74
ml_training,388,21.8,13.6,14,1,55.13
synthetic_load,587,10.5,70.2,3,0,123.54
inference,433,92.4,57.2,1,1,15.24
ml_training,998,53.2,79.4,15,0,201.87
matrix_multiply,414,86.2,67.1,4,0,58.68
ml_training,187,90.4,23.4,6,0,36.83
ml_training,90,93.9,44.8,4,1,17.17
matrix_multiply,99,39.9,41.8,10,1,27.05
matrix_multiply,815,68.0,57.0,13,0,101.72
compress_data,590,57.9,70.7,3,0,34.66
matrix_multiply,814,30.7,52.9,11,1,92.4
ml_training,595,59.8,13.0,8,1,82.08
inference,707,67.4,13.1,10,0,31.15
ml_training,952,29.2,39.8,10,1,136.55
ml_training,888,67.7,17.9,7,0,169.85
ml_training,802,79.3,31.6,13,0,148.83
compress_data,945,79.2,69.3,11,0,58.4
compress_data,77,33.0,50.5,4,0,7.73
compress_data,867,10.2,12.6,1,1,47.26
synthetic_load,387,79.1,50.4,3,0,72.87
ml_training,618,45.1,86.8,15,1,91.74
synthetic_load,776,79.8,17.2,0,1,135.61
inference,808,91.8,78.6,7,0,38.46
ml_training,535,6.8,72.4,0,1,92.09
compress_data,625,77.1,27.9,9,1,38.39
ml_training,882,36.4,30.2,14,1,141.5
inference,416,57.6,10.6,11,1,12.27
matrix_multiply,503,10.7,89.1,10,1,61.12
synthetic_load,202,18.5,71.2,1,1,42.73
compress_data,748,7.3,49.8,9,1,51.72
ml_training,407,71.3,56.6,6,1,69.45
compress_data,712,53.1,72.8,11,1,51.41
inference,195,31.4,47.7,8,0,11.41
synthetic_load,680,13.0,38.4,9,1,148.04
synthetic_load,390,28.5,33.5,3,1,68.05
inference,604,90.0,15.7,6,0,34.53
ml_training,552,31.9,14.3,4,0,128.5
synthetic_load,429,93.8,81.4,14,0,82.85
compress_data,807,12.3,36.6,5,1,47.28
matrix_multiply,472,29.6,70.9,5,0,56.0
matrix_multiply,142,60.3,60.7,12,1,40.13
ml_training,14,8.4,26.0,11,0,4.09
inference,205,6.6,10.3,7,0,10.91
synthetic_load,329,16.6,40.7,9,0,57.51
matrix_multiply,315,90.4,46.5,10,1,56.96
compress_data,360,94.7,49.2,6,0,27.54
ml_training,29,25.6,68.2,4,0,8.76
inference,526,20.2,39.3,1,1,17.79
synthetic_load,799,53.1,13.9,1,0,168.27
matrix_multiply,59,67.1,43.3,12,0,27.64
ml_training,728,18.8,65.6,0,1,108.62
matrix_multiply,688,51.8,59.8,4,1,85.07
matrix_multiply,533,69.7,19.4,3,0,61.24
inference,214,75.0,76.5,6,1,7.61
synthetic_load,174,8.5,49.7,6,1,33.19
matrix_multiply,23,65.4,82.6,15,0,31.85
inference,86,70.1,18.1,8,0,4.94
synthetic_load,280,46.8,18.0,5,0,62.95
synthetic_load,830,65.9,44.1,3,0,184.95
matrix_multiply,19,81.7,63.1,5,1,12.91
ml_training,988,61.0,80.3,2,1,166.63
compress_data,126,41.1,87.0,8,1,16.18
ml_training,829,43.0,80.9,5,0,150.49
matrix_multiply,975,81.0,18.3,15,1,112.19
ml_training,807,37.3,12.3,4,1,138.27
matrix_multiply,918,42.0,13.7,8,1,90.41
inference,795,71.9,67.9,7,1,24.71
inference,107,44.0,68.1,15,1,3.83
ml_training,162,80.5,54.7,1,0,38.29
compress_data,527,81.4,78.1,5,0,35.16
synthetic_load,256,34.8,32.3,7,1,50.39
compress_data,90,46.3,74.1,14,0,19.84
ml_training,333,15.7,49.8,0,0,66.25
matrix_multiply,580,54.4,76.1,9,0,77.66
ml_training,983,35.7,76.0,7,1,142.82
inference,624,47.6,62.6,14,0,27.85
compress_data,12,35.7,76.4,9,1,10.7
matrix_multiply,928,19.8,21.2,13,0,104.94
compress_data,202,15.9,78.2,6,1,18.93
compress_data,743,35.4,70.6,1,0,43.34
ml_training,478,64.3,86.5,4,1,64.7
matrix_multiply,576,89.2,77.1,15,0,89.43
compress_data,758,78.4,18.3,10,1,45.32
inference,947,67.3,29.9,12,1,33.19
ml_training,834,17.0,43.0,9,1,134.69
inference,657,24.6,26.8,9,1,22.48
compress_data,737,63.5,86.7,10,0,51.16
inference,501,57.5,85.4,13,1,17.37
ml_training,837,6.1,18.5,12,0,145.49
matrix_multiply,214,29.0,72.8,9,1,32.49
matrix_multiply,717,75.6,26.3,1,1,84.23
matrix_multiply,640,83.1,69.2,7,1,72.46
synthetic_load,719,64.8,84.1,12,1,164.98
synthetic_load,999,54.7,11.0,8,0,208.16
ml_training,859,25.3,60.7,11,0,188.44
compress_data,311,45.4,88.7,2,0,22.56
inference,132,38.9,44.3,8,0,6.28
synthetic_load,15,34.8,66.8,4,0,3.31
synthetic_load,621,9.6,84.6,9,1,135.21
inference,376,11.6,66.6,7,0,19.03
inference,173,42.4,53.0,2,1,5.14
compress_data,689,34.9,38.9,6,1,46.44
matrix_multiply,127,65.2,45.7,7,0,27.91
synthetic_load,400,87.4,85.6,12,1,82.73
